Date,Network,Message,Message URL,Message ID,Name,Profile,Followers,Shares,Likes,Sentiment,Location,Hashtags,Images,Language
6/30/2021 11:24 pm,Twitter,Uta madre ... se les quedó el bebestible 😁 del enpremdimiento clandestino  #LaTorreDeMabel,https://twitter.com/polloxkarlos1/statuses/1410439259681611782,1410439259681611782,juan carlos,polloxkarlos1,493,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:24 pm,Twitter,"La nueva integración llega más que nunca a Chile
 el bdms  😈 para los perversos #LaTorreDeMabel https://t.co/Xt9ZHQmQHR",https://twitter.com/andriwss89/statuses/1410439182485536773,1410439182485536773,miguelangel89,andriwss89,4,0,0,Positive,NULL,#latorredemabel,https://pbs.twimg.com/media/E5Li9fpXMAIXHTT.jpg,es
6/30/2021 11:24 pm,Twitter,RT @mirartusnovelas: La torre de mabel capítulo 12 miercoles 30 de junio del 2021   https://t.co/W3P80kWHPe,https://twitter.com/Miratusnovelas/statuses/1410439108275625985,1410439108275625985,Miratusnovelas,Miratusnovelas,1562,0,0,Neutral,NULL,NULL,NULL,es
6/30/2021 11:24 pm,Twitter,"RT @Informa_Primero: ¿ Qué están viendo , en la televisión abierta chile ? 📺🤷

#LaTorreDeMabel
#MiranEsUnSadoglu
#DementeMega 
#YoSoyCHV (Repetición)",https://twitter.com/Informa_Primero/statuses/1410439046539718656,1410439046539718656,Julio Díaz.,Informa_Primero,22275,0,0,Neutral,"Santiago, Santiago Metropolitan, Chile","#yosoychv, #dementemega, #latorredemabel, #miranesunsadoglu",NULL,es
6/30/2021 11:23 pm,Twitter,"#RATING ONLINE 23:20
 HRS. 📺📈📊

#DementeMega 13
#MiranEsUnSadoglu 9
#YoSoyCHV (R) 9
#LaTorreDeMabel 7
#MentirasVerdaderas 3
#MeLatePrime 3

https://t.co/Z4a8Zf7wSE",https://twitter.com/Informa_Primero/statuses/1410439003271217153,1410439003271217153,Julio Díaz.,Informa_Primero,22276,2,2,Neutral,"Santiago, Santiago Metropolitan, Chile","#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:23 pm,Twitter,RT @polloxkarlos1: 😁😂😂 ... el pelao  Gnecco esposado 😏 ... Mish  #LaTorreDeMabel,https://twitter.com/ronal_mk/statuses/1410438974674452481,1410438974674452481,Ronaldo MK.,ronal_mk,51,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:23 pm,Twitter,Se olvidaron as botellas de vodka en el velador 😂#LaTorreDeMabel,https://twitter.com/ronycandia/statuses/1410438962813018113,1410438962813018113,Rony,ronycandia,220,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:23 pm,Twitter,Noooo el vodka hahahahah  #LaTorreDeMabel,https://twitter.com/xio_guz/statuses/1410438782436917249,1410438782436917249,xio,xio_guz,94,0,0,Positive,"Vina del Mar, Valparaíso, Chile",#latorredemabel,NULL,it
6/30/2021 11:21 pm,Twitter,#LaTorreDeMabel ahhh por fin sali jajaja #delgado soy yo jajajaj,https://twitter.com/felgattas/statuses/1410438410104356865,1410438410104356865,#DELGADO,felgattas,1115,0,0,Positive,NULL,"#latorredemabel, #delgado",NULL,es
6/30/2021 11:20 pm,Twitter,RT @jurgen_mdna: Cerraron edificio cagaron...😂😂😂😂😂😂😂😂😂😂😂😂😂😂 #LaTorreDeMabel,https://twitter.com/jurgen_mdna/statuses/1410438149067710467,1410438149067710467,jurgen,jurgen_mdna,3586,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:20 pm,Twitter,"RT @Informa_Primero: #RATING ONLINE 23:05
 HRS. 📺📈📊

#DementeMega 12
#MiranEsUnSadoglu 10
#YoSoyCHV (R) 8
#LaTorreDeMabel 8
#MentirasVerdaderas 4
#MeLatePrime 3

https://t.co/Z4a8Zf7wSE",https://twitter.com/VilmaDiaz1___/statuses/1410438120068288514,1410438120068288514,VILMA,VilmaDiaz1___,2399,0,0,Neutral,Chile,"#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:20 pm,Twitter,"RT @elisazulue: cada día mejor #LaTorreDeMabel / gracias por sus mensajes amigxs https://t.co/31arQFMYDb | QT: Elisa Zulueta y el futuro de su personaje en “La Torre de Mabel”: “Se le desarma el mundo, todo le cambia en un 100%” https://t.co/f2gCxZHYCm",https://twitter.com/MundoC13/statuses/1410438045124513794,1410438045124513794,#LaTorreDeMabel 🏩,MundoC13,17362,0,0,Unclassified,NULL,#latorredemabel,NULL,es
6/30/2021 11:20 pm,Twitter,"RT @Fotechcl: Elisa Zulueta y el futuro de su personaje en “La Torre de Mabel”: “Se le desarma el mundo, todo le cambia en un 100%” https://t.co/f2gCxZHYCm",https://twitter.com/MundoC13/statuses/1410438015097389056,1410438015097389056,#LaTorreDeMabel 🏩,MundoC13,17362,0,0,Negative,NULL,NULL,NULL,es
6/30/2021 11:19 pm,Twitter,RT @BaulTeleseries: El capítulo de ayer de #LaTorreDeMabel fue el de mayor rating (7.4 pts) desde el día de su estreno cuando fueron emitidos sus dos primeros capítulos! https://t.co/qOkeOZ2rVJ,https://twitter.com/MundoC13/statuses/1410437969308176384,1410437969308176384,#LaTorreDeMabel 🏩,MundoC13,17362,0,0,Unclassified,NULL,#latorredemabel,https://pbs.twimg.com/media/E5JIMY1XoAUNKDH.jpg,es
6/30/2021 11:19 pm,Twitter,medio personaje el Wilson ksnfkajaj #latorredemabel,https://twitter.com/v0ldbee/statuses/1410437874583998465,1410437874583998465,vianna,v0ldbee,235,0,0,Neutral,Chile,#latorredemabel,NULL,es
6/30/2021 11:18 pm,Twitter,#LaTorreDeMabel la sra veloz...jaajjaajah,https://twitter.com/catalincita/statuses/1410437753439916032,1410437753439916032,Catalina Arriagada E,catalincita,298,0,0,Neutral,Chile,#latorredemabel,NULL,es
6/30/2021 11:18 pm,Twitter,"RT @Informa_Primero: #RATING ONLINE 23:15
 HRS. 📺📈📊

#DementeMega 12
#MiranEsUnSadoglu 11
#YoSoyCHV (R) 8
#LaTorreDeMabel 7
#MentirasVerdaderas 3
#MeLatePrime 2

https://t.co/Z4a8Zf7wSE",https://twitter.com/SGxMultifandom/statuses/1410437745797914628,1410437745797914628,𝐷𝑎𝑛𝑖𝑡𝑧𝑎🌻🦋,SGxMultifandom,21045,0,0,Neutral,NULL,"#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:18 pm,Twitter,😁😂😂 ... todos  vayan detrás del colita 😁😂😂 ... cuidado con el chico 😁😂😂 ... Wilson weon que me hace reír 😁😂😂     #LaTorreDeMabel,https://twitter.com/polloxkarlos1/statuses/1410437592345108482,1410437592345108482,juan carlos,polloxkarlos1,493,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:18 pm,Twitter,Amorcito con la abuela Wilson!!!!! 😂😂😂😂😂😂 #LaTorreDeMabel,https://twitter.com/tilleclau/statuses/1410437551849156619,1410437551849156619,Claudia Tilleria,tilleclau,289,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:17 pm,Twitter,Muero de risa con el dibujo del Wilson 🤣🤣🤣#LaTorreDeMabel,https://twitter.com/BustamanteEvy/statuses/1410437436522569728,1410437436522569728,Evy Bustamante,BustamanteEvy,6,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:17 pm,Twitter,"RT @Informa_Primero: #RATING ONLINE 23:15
 HRS. 📺📈📊

#DementeMega 12
#MiranEsUnSadoglu 11
#YoSoyCHV (R) 8
#LaTorreDeMabel 7
#MentirasVerdaderas 3
#MeLatePrime 2

https://t.co/Z4a8Zf7wSE",https://twitter.com/ESTEFYYX/statuses/1410437285770825729,1410437285770825729,😘🌸#YO APRUEBO ❤ESTEFANI CARDENAS❤🌹💪✌❤,ESTEFYYX,478,0,0,Neutral,"Puerto Varas, Los Lagos, Chile","#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:17 pm,Twitter,Jaja la media inderecta de wilzon jajaja 🤣#LaTorreDeMabel,https://twitter.com/andriwss89/statuses/1410437284428718085,1410437284428718085,miguelangel89,andriwss89,4,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:16 pm,Twitter,Jajajajja seguridad ciudadana  #LaTorreDeMabel,https://twitter.com/xio_guz/statuses/1410437247724396544,1410437247724396544,xio,xio_guz,94,0,0,Positive,"Vina del Mar, Valparaíso, Chile",#latorredemabel,NULL,es
6/30/2021 11:16 pm,Twitter,"RT @Informa_Primero: #RATING ONLINE 23:15
 HRS. 📺📈📊

#DementeMega 12
#MiranEsUnSadoglu 11
#YoSoyCHV (R) 8
#LaTorreDeMabel 7
#MentirasVerdaderas 3
#MeLatePrime 2

https://t.co/Z4a8Zf7wSE",https://twitter.com/_yasnita/statuses/1410437222797557760,1410437222797557760,Yasna ☪✌ ❤,_yasnita,217,0,0,Neutral,Chile,"#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:16 pm,Twitter,😁😂😂 ... sii ... me has quitado las palabras justas 😁😂😂 ... #LaTorreDeMabel | QT: @polloxkarlos1 Mensaje subliminar,https://twitter.com/polloxkarlos1/statuses/1410437132850761734,1410437132850761734,juan carlos,polloxkarlos1,493,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:16 pm,Twitter,"RT @Informa_Primero: #RATING ONLINE 23:15
 HRS. 📺📈📊

#DementeMega 12
#MiranEsUnSadoglu 11
#YoSoyCHV (R) 8
#LaTorreDeMabel 7
#MentirasVerdaderas 3
#MeLatePrime 2

https://t.co/Z4a8Zf7wSE",https://twitter.com/mignacia23/statuses/1410437074365337607,1410437074365337607,Nachi 🦋,mignacia23,1246,0,0,Neutral,Chile,"#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:16 pm,Twitter,"RT @Informa_Primero: ¿ Qué están viendo , en la televisión abierta chile ? 📺🤷

#LaTorreDeMabel
#MiranEsUnSadoglu
#DementeMega 
#YoSoyCHV (Repetición)",https://twitter.com/Informa_Primero/statuses/1410437066308083712,1410437066308083712,Julio Díaz.,Informa_Primero,22274,0,0,Neutral,"Santiago, Santiago Metropolitan, Chile","#yosoychv, #dementemega, #latorredemabel, #miranesunsadoglu",NULL,es
6/30/2021 11:16 pm,Twitter,"RT @Informa_Primero: #RATING ONLINE 23:10
 HRS. 📺📈📊

#DementeMega 13
#MiranEsUnSadoglu 10
#YoSoyCHV (R) 7
#LaTorreDeMabel 7
#MentirasVerdaderas 4
#MeLatePrime 2

https://t.co/Z4a8Zf7wSE",https://twitter.com/_yasnita/statuses/1410437054794764289,1410437054794764289,Yasna ☪✌ ❤,_yasnita,217,0,0,Neutral,Chile,"#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:16 pm,Twitter,"#RATING ONLINE 23:15
 HRS. 📺📈📊

#DementeMega 12
#MiranEsUnSadoglu 11
#YoSoyCHV (R) 8
#LaTorreDeMabel 7
#MentirasVerdaderas 3
#MeLatePrime 2

https://t.co/Z4a8Zf7wSE",https://twitter.com/Informa_Primero/statuses/1410437012692385794,1410437012692385794,Julio Díaz.,Informa_Primero,22275,4,5,Neutral,"Santiago, Santiago Metropolitan, Chile","#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:15 pm,Twitter,"#RATING ONLINE 23:10
 HRS. 📺📈📊

#DementeMega 13
#MiranEsUnSadoglu 10
#YoSoyCHV (R) 7
#LaTorreDeMabel 7
#MentirasVerdaderas 4
#MeLatePrime 2

https://t.co/Z4a8Zf7wSE",https://twitter.com/Informa_Primero/statuses/1410436801370673153,1410436801370673153,Julio Díaz.,Informa_Primero,22274,1,2,Neutral,"Santiago, Santiago Metropolitan, Chile","#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:15 pm,Twitter,😁😂😂😂 ...el cola con bata de flores y cintillo amarillo que la la cagá 😁😂😂 ... yo salgo así a la calle me sacan la cresta 😁😂😂 #LaTorreDeMabel,https://twitter.com/polloxkarlos1/statuses/1410436757380812800,1410436757380812800,juan carlos,polloxkarlos1,493,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:14 pm,Twitter,No llego Juan Pablo  #LaTorreDeMabel,https://twitter.com/xio_guz/statuses/1410436662027501570,1410436662027501570,xio,xio_guz,94,0,0,Neutral,"Vina del Mar, Valparaíso, Chile",#latorredemabel,NULL,es
6/30/2021 11:14 pm,Twitter,"Ese weon siempre anda de escolar o que? XD 
#LaTorreDeMabel https://t.co/TTOaCttaLA",https://twitter.com/salsazero/statuses/1410436590653018119,1410436590653018119,Futuro periodista de Chile 🇨🇱,salsazero,49,0,0,Neutral,NULL,#latorredemabel,https://pbs.twimg.com/media/E5LgmXIWEAQAcYV.jpg,es
6/30/2021 11:13 pm,Twitter,Un olor a soxo 🤣#LaTorreDeMabel,https://twitter.com/andriwss89/statuses/1410436356124418049,1410436356124418049,miguelangel89,andriwss89,4,0,0,Positive,NULL,#latorredemabel,NULL,en
6/30/2021 11:13 pm,Twitter,😂😂😂 quedó la caga 😂😂😂 #LaTorreDeMabel,https://twitter.com/tilleclau/statuses/1410436352550879239,1410436352550879239,Claudia Tilleria,tilleclau,289,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:13 pm,Twitter,Cerraron edificio cagaron...😂😂😂😂😂😂😂😂😂😂😂😂😂😂 #LaTorreDeMabel,https://twitter.com/jurgen_mdna/statuses/1410436306467962885,1410436306467962885,jurgen,jurgen_mdna,3586,1,4,Neutral,NULL,#latorredemabel,NULL,es
6/30/2021 11:12 pm,Twitter,Wilson se percatará de las matas  #LaTorreDeMabel,https://twitter.com/ronycandia/statuses/1410436075500232707,1410436075500232707,Rony,ronycandia,220,0,0,Neutral,NULL,#latorredemabel,NULL,es
6/30/2021 11:10 pm,Twitter,El Wilson Superman anda de investigador tratando de atrapar al Arturo xD #LaTorreDeMabel,https://twitter.com/salsazero/statuses/1410435537937260548,1410435537937260548,Futuro periodista de Chile 🇨🇱,salsazero,49,0,0,Neutral,NULL,#latorredemabel,NULL,es
6/30/2021 11:10 pm,Twitter,😁😂😂 ... el pelao  Gnecco esposado 😏 ... Mish  #LaTorreDeMabel,https://twitter.com/polloxkarlos1/statuses/1410435502969393160,1410435502969393160,juan carlos,polloxkarlos1,493,1,4,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:09 pm,Twitter,Wilson el conserje sapo y alaraco #LaTorreDeMabel,https://twitter.com/ronycandia/statuses/1410435434337931267,1410435434337931267,Rony,ronycandia,220,0,0,Neutral,NULL,#latorredemabel,NULL,es
6/30/2021 11:09 pm,Twitter,"RT @vemos_tele: Rating 22:56
#DementeMega 13
#MiranEsUnSadoglu 10
#LaTorreDeMabel 7
#YoSoyCHV (r) 7
#LaFranjaMV 4
#MeLatePrime 2",https://twitter.com/emergenciacl/statuses/1410435293791064069,1410435293791064069,Emergencias Chile,emergenciacl,212,0,0,Negative,Chile,"#dementemega, #miranesunsadoglu, #latorredemabel, #yosoychv, #lafranjamv, #melateprime",NULL,en
6/30/2021 11:09 pm,Twitter,El wilson las caga 😂😂😂😂 #LaTorreDeMabel,https://twitter.com/jurgen_mdna/statuses/1410435289898795013,1410435289898795013,jurgen,jurgen_mdna,3586,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:09 pm,Twitter,"RT @vemos_tele: Rating 23:05
#DementeMega 13
#MiranEsUnSadoglu 10
#LaTorreDeMabel 7
#YoSoyCHV (r) 7
#LaFranjaMV 4
#MeLatePrime 2",https://twitter.com/emergenciacl/statuses/1410435260593082370,1410435260593082370,Emergencias Chile,emergenciacl,212,0,0,Negative,Chile,"#dementemega, #miranesunsadoglu, #latorredemabel, #yosoychv, #lafranjamv, #melateprime",NULL,en
6/30/2021 11:08 pm,Twitter,"Arturo “funao” Gnecco logro escapar del penthouse esposado eso si, una gran hazaña sin duda 😂 #LaTorreDeMabel",https://twitter.com/salsazero/statuses/1410435158201745410,1410435158201745410,Futuro periodista de Chile 🇨🇱,salsazero,49,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:08 pm,Twitter,"RT @Informa_Primero: #RATING ONLINE 23:05
 HRS. 📺📈📊

#DementeMega 12
#MiranEsUnSadoglu 10
#YoSoyCHV (R) 8
#LaTorreDeMabel 8
#MentirasVerdaderas 4
#MeLatePrime 3

https://t.co/Z4a8Zf7wSE",https://twitter.com/Guiller60411301/statuses/1410435092405706760,1410435092405706760,Guillermina Salazar,Guiller60411301,23,0,0,Neutral,NULL,"#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:08 pm,Twitter,"RT @vemos_tele: Rating 23:05
#DementeMega 13
#MiranEsUnSadoglu 10
#LaTorreDeMabel 7
#YoSoyCHV (r) 7
#LaFranjaMV 4
#MeLatePrime 2",https://twitter.com/SocialTrending4/statuses/1410435069412614148,1410435069412614148,Social Trending,SocialTrending4,12,0,0,Negative,NULL,"#dementemega, #miranesunsadoglu, #latorredemabel, #yosoychv, #lafranjamv, #melateprime",NULL,en
6/30/2021 11:08 pm,Twitter,"RT @vemos_tele: Rating 22:56
#DementeMega 13
#MiranEsUnSadoglu 10
#LaTorreDeMabel 7
#YoSoyCHV (r) 7
#LaFranjaMV 4
#MeLatePrime 2",https://twitter.com/SocialTrending4/statuses/1410435032825556993,1410435032825556993,Social Trending,SocialTrending4,12,0,0,Negative,NULL,"#dementemega, #miranesunsadoglu, #latorredemabel, #yosoychv, #lafranjamv, #melateprime",NULL,en
6/30/2021 11:07 pm,Twitter,"RT @vemos_tele: Rating 23:05
#DementeMega 13
#MiranEsUnSadoglu 10
#LaTorreDeMabel 7
#YoSoyCHV (r) 7
#LaFranjaMV 4
#MeLatePrime 2",https://twitter.com/alvarezsalgado3/statuses/1410434965024788481,1410434965024788481,Renata Alvarez,alvarezsalgado3,80,0,0,Negative,NULL,"#dementemega, #miranesunsadoglu, #latorredemabel, #yosoychv, #lafranjamv, #melateprime",NULL,en
6/30/2021 11:07 pm,Twitter,"RT @vemos_tele: Rating 23:05
#DementeMega 13
#MiranEsUnSadoglu 10
#LaTorreDeMabel 7
#YoSoyCHV (r) 7
#LaFranjaMV 4
#MeLatePrime 2",https://twitter.com/Guiller60411301/statuses/1410434936201429000,1410434936201429000,Guillermina Salazar,Guiller60411301,23,0,0,Negative,NULL,"#dementemega, #miranesunsadoglu, #latorredemabel, #yosoychv, #lafranjamv, #melateprime",NULL,en
6/30/2021 11:07 pm,Twitter,"RT @vemos_tele: Rating 22:56
#DementeMega 13
#MiranEsUnSadoglu 10
#LaTorreDeMabel 7
#YoSoyCHV (r) 7
#LaFranjaMV 4
#MeLatePrime 2",https://twitter.com/alvarezsalgado3/statuses/1410434908267417600,1410434908267417600,Renata Alvarez,alvarezsalgado3,80,0,0,Negative,NULL,"#dementemega, #miranesunsadoglu, #latorredemabel, #yosoychv, #lafranjamv, #melateprime",NULL,en
6/30/2021 11:07 pm,Twitter,Sobre qué la abuela tarda mil año en llegar a su destino 😂#LaTorreDeMabel,https://twitter.com/ronycandia/statuses/1410434880324964352,1410434880324964352,Rony,ronycandia,220,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:07 pm,Twitter,"#RATING ONLINE 23:05
 HRS. 📺📈📊

#DementeMega 12
#MiranEsUnSadoglu 10
#YoSoyCHV (R) 8
#LaTorreDeMabel 8
#MentirasVerdaderas 4
#MeLatePrime 3

https://t.co/Z4a8Zf7wSE",https://twitter.com/Informa_Primero/statuses/1410434779376390145,1410434779376390145,Julio Díaz.,Informa_Primero,22275,2,5,Neutral,"Santiago, Santiago Metropolitan, Chile","#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
6/30/2021 11:07 pm,Twitter,Se veía lindo Ñeko esposado!!#latorredemabel,https://twitter.com/matish98__/statuses/1410434764373377026,1410434764373377026,Matias Aguayo R.,matish98__,149,0,0,Neutral,"Concepcion, Biobío, Chile",#latorredemabel,NULL,es
